epoch,concat_train_loss,concat_val_loss,concat_train_acc,concat_val_acc,concat_val_top5_acc,cross_attention_train_loss,cross_attention_val_loss,cross_attention_train_acc,cross_attention_val_acc,cross_attention_val_top5_acc,gated_train_loss,gated_val_loss,gated_train_acc,gated_val_acc,gated_val_top5_acc,image_only_train_loss,image_only_val_loss,image_only_train_acc,image_only_val_acc,image_only_val_top5_acc,score_fusion_masked_train_loss,score_fusion_masked_val_loss,score_fusion_masked_train_acc,score_fusion_masked_val_acc,score_fusion_masked_val_top5_acc
27,1.4859,2.0414,87.76,71.41,93.7,1.0385,1.9347,96.61,71.22,93.32,1.5511,2.0346,86.2,68.83,93.99,1.3698,1.8569,89.86,64.01,92.33,1.3728,1.912,90.01,68.52,92.29
28,1.5664,2.0711,86.46,70.04,93.0,1.0501,1.9711,95.88,69.89,93.32,1.6119,2.0786,85.3,68.5,93.63,1.4664,1.7578,87.24,66.25,94.33,1.4609,1.7576,88.5,72.23,93.98
29,1.4416,2.1082,88.83,70.04,92.65,1.0312,1.9009,96.19,71.55,94.34,1.4798,1.9992,87.84,71.45,94.71,1.3199,1.8166,90.43,67.86,90.34,1.3185,1.8342,91.04,70.54,92.29
30,1.5826,2.0615,85.73,70.73,93.7,1.0228,1.9546,96.99,69.89,93.66,1.6174,2.0975,85.28,69.48,93.63,1.4537,1.8108,88.07,65.94,90.67,1.4583,1.8544,88.06,69.2,93.64
31,1.526,2.0919,86.98,71.07,94.06,1.0353,1.8888,96.42,70.88,93.99,1.5891,2.1191,85.12,68.83,93.99,1.4031,1.7837,89.02,66.9,89.68,1.4028,1.7774,89.16,70.54,94.99
32,1.5155,2.1439,87.21,71.07,94.06,1.0251,1.9304,96.42,69.89,93.32,1.5366,2.1411,87.05,69.15,93.99,1.3781,1.8638,89.57,67.23,89.35,1.3822,1.8266,89.15,69.87,93.3
33,1.4337,2.0878,89.56,71.41,94.06,1.0265,1.9431,96.27,70.21,92.63,1.4797,2.0991,88.15,69.48,94.35,1.2994,1.808,91.85,66.9,90.34,1.2897,1.8083,92.56,70.21,93.98
34,1.3059,2.1203,91.61,71.07,93.7,1.0204,1.9157,96.53,71.55,93.99,1.3522,2.1057,91.12,69.48,94.35,1.1959,1.88,93.63,66.9,90.67,1.1789,1.8654,94.28,71.55,91.95
35,1.55,2.1641,86.54,70.38,94.06,1.0189,1.9158,97.14,71.88,93.99,1.5905,2.1127,85.86,70.14,93.99,1.3847,1.8482,89.81,66.58,90.67,1.3854,1.7753,89.48,73.24,93.98
36,1.3689,2.1557,90.19,71.41,92.65,1.013,1.9628,96.76,69.89,93.66,1.4086,2.0712,89.29,68.83,93.99,1.2509,1.8067,92.4,67.86,92.99,1.2355,1.7157,92.81,75.61,94.99
37,1.5158,2.1942,87.63,70.73,92.29,1.0077,1.9844,96.68,70.88,93.66,1.5352,2.1193,87.02,70.14,93.63,1.3766,1.7948,89.6,68.19,92.0,1.3746,1.7573,89.46,74.59,93.3
38,1.602,2.1977,86.16,71.74,92.65,1.0124,1.9681,97.14,69.55,92.63,1.5908,2.1296,86.38,69.81,93.99,1.4376,1.804,88.04,68.51,91.34,1.428,1.7667,88.71,72.9,95.33
39,1.4588,2.1437,88.26,71.74,94.06,1.0059,1.9695,96.91,70.88,93.32,1.5121,2.1453,87.04,69.81,93.27,1.3313,1.7151,91.17,68.51,94.33,1.3275,1.7536,90.64,72.57,95.67
40,1.484,2.188,88.28,69.37,93.36,1.0083,1.9694,96.99,70.21,94.68,1.501,2.1073,87.73,70.47,94.35,1.3417,1.7806,90.85,67.86,91.01,1.3389,1.8134,91.57,73.58,93.98
41,1.5164,2.121,87.26,72.77,95.12,1.0073,1.9705,97.07,71.22,93.66,1.5398,2.1283,86.81,70.47,94.35,1.3684,1.8052,90.28,67.86,91.01,1.3628,1.8072,90.23,71.21,95.33
42,1.444,2.1682,88.18,71.07,94.41,1.0005,1.9484,97.07,73.54,93.32,1.4802,2.1579,87.68,68.83,93.99,1.2897,1.8478,92.01,67.23,90.0,1.2893,1.8011,91.52,72.57,93.98
43,1.3992,2.1441,90.25,72.09,93.7,0.9731,1.9438,97.79,71.55,93.66,1.4438,2.1225,89.32,69.48,95.07,1.2559,1.7858,92.82,69.16,91.67,1.2552,1.7974,92.84,72.9,95.67
44,1.3193,2.1928,91.4,71.07,93.0,0.9915,1.9392,97.64,71.88,93.99,1.3573,2.1244,91.43,69.48,94.71,1.1789,1.7536,94.06,70.12,92.0,1.1728,1.7906,94.47,73.24,95.33
45,1.3948,2.1214,90.32,71.41,94.41,0.9955,1.9782,97.52,71.22,93.99,,,,,,1.2485,1.7466,93.06,69.8,92.33,1.2404,1.7768,93.32,74.25,94.99
46,1.3576,2.1746,90.59,71.07,94.06,0.9897,1.9418,97.6,71.22,93.99,,,,,,1.1914,1.7271,94.14,70.12,92.0,1.1951,1.7365,94.23,73.92,95.67
47,1.3555,2.1353,90.58,72.43,94.77,0.9904,1.9529,97.45,71.22,94.68,,,,,,1.2253,1.7757,93.57,68.83,92.67,1.2279,1.7883,93.43,72.9,94.32
48,1.4125,2.1681,89.63,71.74,94.77,0.9949,1.9917,97.48,70.88,92.98,,,,,,1.2814,1.7835,92.34,68.19,91.67,1.2739,1.7764,92.38,73.24,95.67
49,1.4331,2.1839,89.79,70.38,93.36,1.0005,1.9664,97.29,71.22,93.66,,,,,,1.3169,1.7767,91.66,69.47,92.33,1.3186,1.776,91.6,73.92,94.65
50,1.479,2.165,88.37,71.07,93.36,0.9992,1.9447,96.65,71.55,93.66,,,,,,1.3277,1.7477,91.45,69.16,92.99,1.329,1.7555,91.12,74.25,96.01
