epoch,concat_train_loss,concat_val_loss,concat_train_acc,concat_val_acc,concat_val_top5_acc,cross_attention_train_loss,cross_attention_val_loss,cross_attention_train_acc,cross_attention_val_acc,cross_attention_val_top5_acc,gated_train_loss,gated_val_loss,gated_train_acc,gated_val_acc,gated_val_top5_acc,image_only_train_loss,image_only_val_loss,image_only_train_acc,image_only_val_acc,image_only_val_top5_acc,score_fusion_masked_train_loss,score_fusion_masked_val_loss,score_fusion_masked_train_acc,score_fusion_masked_val_acc,score_fusion_masked_val_top5_acc
27,1.4859,2.0414,87.76,70.95,89.86,1.0385,1.9347,96.61,72.30,92.57,1.5511,2.0346,86.20,70.95,88.18,1.3698,1.8569,89.86,67.23,93.92,1.3728,1.9120,90.01,68.58,92.23
28,1.5664,2.0711,86.46,69.59,89.19,1.0501,1.9711,95.88,70.95,92.57,1.6119,2.0786,85.30,70.61,87.84,1.4664,1.7578,87.24,69.59,95.95,1.4609,1.7576,88.50,72.30,93.92
29,1.4416,2.1082,88.83,69.59,88.85,1.0312,1.9009,96.19,72.64,93.58,1.4798,1.9992,87.84,73.65,88.85,1.3199,1.8166,90.43,71.28,91.89,1.3185,1.8342,91.04,70.61,92.23
30,1.5826,2.0615,85.73,70.27,89.86,1.0228,1.9546,96.99,70.95,92.91,1.6174,2.0975,85.28,71.62,87.84,1.4537,1.8108,88.07,69.26,92.23,1.4583,1.8544,88.06,69.26,93.58
31,1.5260,2.0919,86.98,70.61,90.20,1.0353,1.8888,96.42,71.96,93.24,1.5891,2.1191,85.12,70.95,88.18,1.4031,1.7837,89.02,70.27,91.22,1.4028,1.7774,89.16,70.61,94.93
32,1.5155,2.1439,87.21,70.61,90.20,1.0251,1.9304,96.42,70.95,92.57,1.5366,2.1411,87.05,71.28,88.18,1.3781,1.8638,89.57,70.61,90.88,1.3822,1.8266,89.15,69.93,93.24
33,1.4337,2.0878,89.56,70.95,90.20,1.0265,1.9431,96.27,71.28,91.89,1.4797,2.0991,88.15,71.62,88.51,1.2994,1.8080,91.85,70.27,91.89,1.2897,1.8083,92.56,70.27,93.92
34,1.3059,2.1203,91.61,70.61,89.86,1.0204,1.9157,96.53,72.64,93.24,1.3522,2.1057,91.12,71.62,88.51,1.1959,1.8800,93.63,70.27,92.23,1.1789,1.8654,94.28,71.62,91.89
35,1.5500,2.1641,86.54,69.93,90.20,1.0189,1.9158,97.14,72.97,93.24,1.5905,2.1127,85.86,72.30,88.18,1.3847,1.8482,89.81,69.93,92.23,1.3854,1.7753,89.48,73.31,93.92
36,1.3689,2.1557,90.19,70.95,88.85,1.0130,1.9628,96.76,70.95,92.91,1.4086,2.0712,89.29,70.95,88.18,1.2509,1.8067,92.40,71.28,94.59,1.2355,1.7157,92.81,75.68,94.93
37,1.5158,2.1942,87.63,70.27,88.51,1.0077,1.9844,96.68,71.96,92.91,1.5352,2.1193,87.02,72.30,87.84,1.3766,1.7948,89.60,71.62,93.58,1.3746,1.7573,89.46,74.66,93.24
38,1.6020,2.1977,86.16,71.28,88.85,1.0124,1.9681,97.14,70.61,91.89,1.5908,2.1296,86.38,71.96,88.18,1.4376,1.8040,88.04,71.96,92.91,1.4280,1.7667,88.71,72.97,95.27
39,1.4588,2.1437,88.26,71.28,90.20,1.0059,1.9695,96.91,71.96,92.57,1.5121,2.1453,87.04,71.96,87.50,1.3313,1.7151,91.17,71.96,95.95,1.3275,1.7536,90.64,72.64,95.61
40,1.4840,2.1880,88.28,68.92,89.53,1.0083,1.9694,96.99,71.28,93.92,1.5010,2.1073,87.73,72.64,88.51,1.3417,1.7806,90.85,71.28,92.57,1.3389,1.8134,91.57,73.65,93.92
41,1.5164,2.1210,87.26,72.30,91.22,1.0073,1.9705,97.07,72.30,92.91,1.5398,2.1283,86.81,72.64,88.51,1.3684,1.8052,90.28,71.28,92.57,1.3628,1.8072,90.23,71.28,95.27
42,1.4440,2.1682,88.18,70.61,90.54,1.0005,1.9484,97.07,74.66,92.57,1.4802,2.1579,87.68,70.95,88.18,1.2897,1.8478,92.01,70.61,91.55,1.2893,1.8011,91.52,72.64,93.92
43,1.3992,2.1441,90.25,71.62,89.86,0.9731,1.9438,97.79,72.64,92.91,1.4438,2.1225,89.32,71.62,89.19,1.2559,1.7858,92.82,72.64,93.24,1.2552,1.7974,92.84,72.97,95.61
44,1.3193,2.1928,91.40,70.61,89.19,0.9915,1.9392,97.64,72.97,93.24,1.3573,2.1244,91.43,71.62,88.85,1.1789,1.7536,94.06,73.65,93.58,1.1728,1.7906,94.47,73.31,95.27
45,1.3948,2.1214,90.32,70.95,90.54,0.9955,1.9782,97.52,72.30,93.24,,,,,,1.2485,1.7466,93.06,73.31,93.92,1.2404,1.7768,93.32,74.32,94.93
46,1.3576,2.1746,90.59,70.61,90.20,0.9897,1.9418,97.60,72.30,93.24,,,,,,1.1914,1.7271,94.14,73.65,93.58,1.1951,1.7365,94.23,73.99,95.61
47,1.3555,2.1353,90.58,71.96,90.88,0.9904,1.9529,97.45,72.30,93.92,,,,,,1.2253,1.7757,93.57,72.30,94.26,1.2279,1.7883,93.43,72.97,94.26
48,1.4125,2.1681,89.63,71.28,90.88,0.9949,1.9917,97.48,71.96,92.23,,,,,,1.2814,1.7835,92.34,71.62,93.24,1.2739,1.7764,92.38,73.31,95.61
49,1.4331,2.1839,89.79,69.93,89.53,1.0005,1.9664,97.29,72.30,92.91,,,,,,1.3169,1.7767,91.66,72.97,93.92,1.3186,1.7760,91.60,73.99,94.59
50,1.4790,2.1650,88.37,70.61,89.53,0.9992,1.9447,96.65,72.64,92.91,,,,,,1.3277,1.7477,91.45,72.64,94.59,1.3290,1.7555,91.12,74.32,95.95
